City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,hadibu,12.65,54.0333,28.57,73,70,1.0,YE,1715295739
181,san alejo,13.4314,-87.9631,32.85,50,89,2.71,SV,1715295902
182,bairnsdale,-37.8333,147.6167,12.81,97,100,0.61,AU,1715295903
183,mejit,10.2753,170.8646,27.49,84,69,8.82,MH,1715295903
184,ryotsu-minato,38.0833,138.4333,14.61,54,17,3.23,JP,1715295904
185,masaka,-0.3338,31.7341,17.12,94,52,2.07,UG,1715295904
186,kailua-kona,19.6406,-155.9956,27.98,72,75,5.66,US,1715295904
187,trujillo,-8.116,-79.03,17.98,88,75,5.66,PE,1715295902
188,mandalgovi,45.7625,106.2708,1.31,57,9,10.8,MN,1715295905
189,punta arenas,-53.15,-70.9167,3.06,87,75,2.06,CL,1715295610
190,kingston,17.997,-76.7936,30.53,74,40,8.23,JM,1715295468
191,usinsk,65.9939,57.5281,-1.07,97,100,1.34,RU,1715295907
192,salair,54.2312,85.7972,11.02,67,100,2.28,RU,1715295907
193,waingapu,-9.6567,120.2641,25.7,85,17,4.41,ID,1715295908
194,newman,37.3138,-121.0208,30.16,30,5,1.79,US,1715295608
195,anadyr,64.75,177.4833,-4.72,67,40,2.0,RU,1715295909
196,praia da vitoria,38.7333,-27.0667,18.14,77,20,2.59,PT,1715295909
197,belo sur tsiribihina,-19.7,44.55,20.57,91,3,2.01,MG,1715295909
198,mahalingpur,16.3833,75.1167,27.98,49,44,3.25,IN,1715295903
199,sale,34.0389,-6.8166,25.91,88,98,0.0,MA,1715295910
200,constantia,44.1833,28.65,10.39,70,100,6.43,RO,1715295911
201,san antonio de pale,-1.4014,5.6325,26.72,90,92,5.84,GQ,1715295659
202,frederico westphalen,-27.3592,-53.3944,16.98,97,100,0.42,BR,1715295725
203,tokar,18.4254,37.729,27.34,70,8,3.74,SD,1715295912
204,cabo san lucas,22.8909,-109.9124,31.45,39,0,2.57,MX,1715295912
205,pacasmayo,-7.4006,-79.5714,21.01,79,70,7.7,PE,1715295714
206,casablanca,33.5928,-7.6192,22.12,57,100,2.51,MA,1715295869
207,bredasdorp,-34.5322,20.0403,11.23,90,0,2.63,ZA,1715295914
208,trincomalee,8.5711,81.2335,27.57,77,100,2.22,LK,1715295914
209,badger,64.8,-147.5333,11.95,44,75,6.17,US,1715295914
210,mana,5.6592,-53.7767,25.72,90,100,5.45,GF,1715295915
211,sanctuary point,-35.1114,150.629,17.08,83,100,1.83,AU,1715295915
212,lazaro cardenas,17.9583,-102.2,26.98,67,87,4.73,MX,1715295916
213,uturoa,-16.7333,-151.4333,27.83,73,15,6.0,PF,1715295916
214,rabo de peixe,37.8,-25.5833,17.77,99,20,1.54,PT,1715295916
215,zhangye,38.9342,100.4517,13.09,57,100,7.52,CN,1715295917
216,minas de marcona,-15.2119,-75.1103,14.91,76,27,6.73,PE,1715295917
217,andergrove,-21.0833,149.1833,23.14,77,100,7.08,AU,1715295918
218,new norfolk,-42.7826,147.0587,12.73,97,99,0.67,AU,1715295918
219,ust-nera,64.5667,143.2,2.75,94,100,1.65,RU,1715295919
220,qingdao,36.0986,120.3719,14.78,88,0,3.0,CN,1715295687
221,beau vallon,-20.4189,57.6953,25.13,69,40,7.2,MU,1715295919
222,ocean city,39.2776,-74.5746,17.14,74,100,2.68,US,1715295826
223,dongcun,36.7767,121.1597,15.41,80,35,5.94,CN,1715295920
224,niquero,20.0431,-77.5828,28.97,71,36,3.73,CU,1715295888
225,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.03,GF,1715295921
226,saipan,15.1355,145.701,31.39,70,40,8.23,MP,1715295922
227,kruisfontein,-34.0033,24.7314,12.16,89,0,1.1,ZA,1715295922
228,kairouan,35.6781,10.0963,17.01,72,20,1.54,TN,1715295757
229,isafjordur,66.0755,-23.124,2.86,75,93,1.48,IS,1715295923
230,taro,-8.3862,115.28,22.0,95,99,0.6,ID,1715295923
231,myrina,39.8797,25.0742,15.58,88,20,6.69,GR,1715295924
232,rundu,-17.9333,19.7667,17.01,36,0,1.96,,1715295924
233,goure,13.9835,10.2704,32.28,14,64,2.99,NE,1715295925
234,nadvoitsy,63.8667,34.3167,-4.27,91,13,4.1,RU,1715295925
235,belmonte,-15.8631,-38.8828,25.38,83,0,1.74,BR,1715295711
236,nyagan,62.1406,65.3936,-0.83,89,70,3.37,RU,1715295926
237,oyem,1.5995,11.5793,21.42,99,88,1.06,GA,1715295926
238,ar raqqah,35.95,39.0167,22.2,30,24,5.04,SY,1715295927
239,kwekwe,-18.9281,29.8149,12.1,65,0,2.78,ZW,1715295775
240,malango,-2.9627,119.9001,20.41,95,71,0.75,ID,1715295928
241,mizdah,31.4451,12.9801,15.26,63,0,6.33,LY,1715295929
